date,title, body, key insights, type, canvas tag, hypotheses feedback
2015-06-08,Young Professionals,,,Business Model Hypothesis,Customer Segments,
2015-06-02,Helm Presentation 06/02/2015,,,Team Presentation,,
2015-05-12,Elementary Schools,,,Business Model Hypothesis,Key Partners,
2015-05-09,Phone Call with Daniel Daks,TBD,Scheduled phone call with Daniel this week as well,Mentor Engagement,,Young Professionals
2015-05-12,Phone Call with Gabe  Greenbaum,TBD,Will talk with Gabe on Tuesday right after class,Mentor Engagement,,Young Professionals
2015-05-04,Phone Call with David Beazley,Told us to focus on safety as that is the main value propStick with freemium revenue model and test on usersWould use app because of lack of safety apps in marketTry to focus on young professionals and not be too narrow with parents and teens,Summarized what we have done since last meeting at March pitch. Asked for advice on next steps and customer acquisition.,Mentor Engagement,,Young Professionals; Provide a mechanism of early detection for misconduct when the user is in a third-party car; Build virtual presence to find where parents and teens meet online and talk directly to them; Provides a feeling of safety and connectivity between parents and teenagers while they are commuting
2015-05-01,"Phone Call with David Beazley, CEO, StrongBark",Notes from David:influencers like bloggers products firstsafety is most importantone button app that tracks you,"Notes from David:
influencers like bloggers 
products first
safety is most important
one button app that tracks you",Customer Interview,,Teenagers & their parents; Fremium model; Build localized awareness (Evanston High Schools, Parent Teacher Associations); Provides a feeling of safety and connectivity between parents and teenagers while they are commuting
2015-04-29,Fosters the communication between parents and kids and helps kids to develop autonomy and responsibility,,,Business Model Hypothesis,Value Propositions,
2015-04-21,Helm Presentation 04/21/2015,,,Team Presentation,,
2015-04-19,"Video Chat with Leandro Amorim, 19, CS student, Universidade Federal Fluminense",https://docs.google.com/document/d/1U9nKYF02Cx9RYu...Number 10,"""You may have parent's and kid's account, just like they have in XBox. Parents could inform the kid's schedule, choose the Facebook friends they are allowed to share information. Of course it only make sense for younger kids. But you may apply some level of control over time. If the app knows the kid schedule, it can alert the father if the kid is late.""",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-19,"Video Chat with Deborah Amorim, 13, student, Colégio Pedro 2",https://docs.google.com/document/d/1U9nKYF02Cx9RYu...Number 9,"- Deborah would like to be allowed to walk school and home alone. She thinks she might convince her parents easily if she had this app. (Value proposition for teens!)
- Among the app functionalities, she liked the panic button the most. Sometimes she thinks she may feel insecure when she starts to take the bus alone. ""But I don't want to make them nervous. Instead of sending a message like 'I'm feeling in danger', it could send a message 'dad, call me ASAP'. Then, he could call me and make me feel more secure. He could also see where I am and tell me where I could wait for him if I think I need to step out the bus."" (Here she brings 2 insights: having different kinds of alert -- or even being able to personalize the alert -- and, since she still does not know the city very well, she would need someone telling her safe places in the area. Our app could do that for her instead).
- ""My weeks are very alike. Your app could save the route. I take Spanish classes every Monday, Wednesday and Saturday after school. If in one Monday I don't share my localization to my dad, the app could send him an alert: 'Deborah should be going to her Spanish class now. Where is she now?'. I might only have forgotten to share my route, but something could have happened to me"". (an interesting idea for one more feature).
- Other possible use: ""I would also use it to connect with my friends. If we are going to the movies, we could share our locations with each other and it would be easier to find ourselves. I wouldn't have to call them"".",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-19,"Video Chat with Torquato Lima, Business owner, Mesquitão",https://docs.google.com/document/d/1U9nKYF02Cx9RYu...Number 8,"He gave an ideia of possible functionality. He would like to receive an alert if she stops for more than 10 minutes when she is supposed to be moving. For example, sometimes she goes home with other parents. They may stop to run some errands in places that would be inside the expected route. He would like to know, so he would not worry in case she takes longer to arrive home.",Customer Interview,Customer Segments,Teenagers & their parents
2015-04-14,"In Person Meeting with Kitty L, HS student, Student",Either forgets or doesnt want to call parents after arriving. Parents would want to use it too because it automates a lot of the checking up process.,"Same reaction as Kevin L, and takes cabs very often, sometimes at night",Customer Interview,,Teenagers & their parents
2015-04-14,"In Person Meeting with Kevin L, High School Student, Student","Calls parents sometimes when reach destination. Forgets a lot of the times. Parents dont call him, but still does feel a bit nervous about them travelling alone. After arriving at destination and seeing friends, it is much harder to give parents the call because he either forgets or doesnt want to stop conversation with friends for a phone call","This app would make parents feel a level safer about children travelling, even though they do not need to check up on them after the destination",Customer Interview,,Teenagers & their parents
2015-04-11,"Phone Call with Lora, 11, student, Hoffman Elementary School",Number 7https://docs.google.com/document/d/1U9nKYF02Cx9RYuuKisD3ofrfLGlJHPmZdo8swpYbBt8/edit,"1) ""I don't have Facebook yet. I will create one in my 13o birthday. You might have to tell my contacts that I am danger, instead of Facebook friends"" >> We will have to figure out a way of connecting the app to her contact list.
2) ""I call my mom several times a day because I sometimes I just want to talk to her"" >> Younger kids need more connection to their parents than older ones.",Customer Interview,Customer Segments,Teenagers & their parents
